Re,j_Gyroid,f_Gyroid,Nu_Gyroid,j_Diamond,f_Diamond,Nu_Diamond,j_Primitive,f_Primitive,Nu_Primitive,j_Neovius,f_Neovius,Nu_Neovius,j_FRD,f_FRD,Nu_FRD,j_FKS,f_FKS,Nu_FKS,j_SmoothPlateFin,f_SmoothPlateFin,Nu_SmoothPlateFin,PEC_Gyroid,PEC_Diamond,PEC_Primitive,PEC_Neovius,PEC_FRD,PEC_FKS
3.919407e+03,2.694667e-02,4.778548e-01,9.377596e+01,1.794481e-02,5.200928e-01,6.244896e+01,1.251884e-02,5.055393e-01,4.356629e+01,1.241636e-02,4.178341e-01,4.320965e+01,1.641963e-02,5.734257e-01,5.714125e+01,2.015211e-02,7.075499e-01,7.013051e+01,4.292961e-03,1.042841e-02,1.493975e+01,1.754105e+00,1.135606e+00,7.997637e-01,8.452313e-01,1.005820e+00,1.150935e+00
4.237587e+03,2.632343e-02,4.704530e-01,9.904376e+01,1.742718e-02,5.122767e-01,6.557098e+01,1.227693e-02,4.957701e-01,4.619280e+01,1.212900e-02,4.081637e-01,4.563621e+01,1.597714e-02,5.645436e-01,6.011511e+01,1.954791e-02,7.002208e-01,7.355038e+01,4.226465e-03,1.017063e-02,1.590237e+01,1.735038e+00,1.116514e+00,7.951848e-01,8.382085e-01,9.909956e-01,1.128480e+00
4.581598e+03,2.571460e-02,4.631659e-01,1.046075e+02,1.692447e-02,5.045780e-01,6.884908e+01,1.203968e-02,4.861897e-01,4.897766e+01,1.184828e-02,3.987172e-01,4.819904e+01,1.554657e-02,5.557991e-01,6.324374e+01,1.896182e-02,6.929677e-01,7.713703e+01,4.160999e-03,9.922278e-03,1.692702e+01,1.716355e+00,1.097856e+00,7.907137e-01,8.313297e-01,9.764908e-01,1.106577e+00
4.953535e+03,2.511985e-02,4.559917e-01,1.104837e+02,1.643627e-02,4.969950e-01,7.229105e+01,1.180702e-02,4.767944e-01,5.193041e+01,1.157407e-02,3.894892e-01,5.090580e+01,1.512761e-02,5.471901e-01,6.653520e+01,1.839330e-02,6.857897e-01,8.089857e+01,4.096547e-03,9.682918e-03,1.801770e+01,1.698044e+00,1.079618e+00,7.863469e-01,8.245904e-01,9.622950e-01,1.085209e+00
5.355667e+03,2.453886e-02,4.489286e-01,1.166901e+02,1.596215e-02,4.895260e-01,7.590511e+01,1.157886e-02,4.675807e-01,5.506117e+01,1.130620e-02,3.804748e-01,5.376455e+01,1.471993e-02,5.387143e-01,6.999796e+01,1.784182e-02,6.786860e-01,8.484355e+01,4.033094e-03,9.452116e-03,1.917864e+01,1.680093e+00,1.061787e+00,7.820810e-01,8.179860e-01,9.483987e-01,1.064358e+00
5.790444e+03,2.397130e-02,4.419749e-01,1.232451e+02,1.550171e-02,4.821692e-01,7.969984e+01,1.135511e-02,4.585451e-01,5.838069e+01,1.104452e-02,3.716691e-01,5.678385e+01,1.432324e-02,5.303699e-01,7.364093e+01,1.730689e-02,6.716560e-01,8.898090e+01,3.970623e-03,9.229468e-03,2.041440e+01,1.662491e+00,1.044351e+00,7.779127e-01,8.115122e-01,9.347927e-01,1.044007e+00
6.260517e+03,2.341687e-02,4.351289e-01,1.301683e+02,1.505455e-02,4.749230e-01,8.368428e+01,1.113568e-02,4.496840e-01,6.190032e+01,1.078891e-02,3.630671e-01,5.997271e+01,1.393725e-02,5.221547e-01,7.747350e+01,1.678799e-02,6.646987e-01,9.332001e+01,3.909120e-03,9.014596e-03,2.172977e+01,1.645228e+00,1.027298e+00,7.738391e-01,8.051651e-01,9.214681e-01,1.024142e+00
6.768750e+03,2.287527e-02,4.283890e-01,1.374804e+02,1.462028e-02,4.677857e-01,8.786791e+01,1.092049e-02,4.409942e-01,6.563215e+01,1.053921e-02,3.546643e-01,6.334065e+01,1.356165e-02,5.140668e-01,8.150553e+01,1.628464e-02,6.578136e-01,9.787071e+01,3.848570e-03,8.807141e-03,2.312990e+01,1.628292e+00,1.010615e+00,7.698572e-01,7.989406e-01,9.084165e-01,1.004746e+00
7.318242e+03,2.234619e-02,4.217535e-01,1.452032e+02,1.419855e-02,4.607557e-01,9.226070e+01,1.070946e-02,4.324723e-01,6.958897e+01,1.029529e-02,3.464559e-01,6.689772e+01,1.319618e-02,5.061042e-01,8.574740e+01,1.579639e-02,6.509997e-01,1.026433e+02,3.788957e-03,8.606766e-03,2.462025e+01,1.611675e+00,9.942922e-01,7.659642e-01,7.928350e-01,8.956297e-01,9.858056e-01
7.912343e+03,2.182935e-02,4.152207e-01,1.533599e+02,1.378898e-02,4.538313e-01,9.687310e+01,1.050251e-02,4.241151e-01,7.378432e+01,1.005701e-02,3.384375e-01,7.065455e+01,1.284055e-02,4.982648e-01,9.021004e+01,1.532278e-02,6.442564e-01,1.076487e+02,3.730268e-03,8.413152e-03,2.620663e+01,1.595367e+00,9.783183e-01,7.621574e-01,7.868448e-01,8.831000e-01,9.673067e-01
